razao_social,telefone,whatsapp_link,maps_url,website
Casa de Carnes Taquaral,+55 15 98104-2597,https://wa.me/5515981042597,https://maps.google.com/?cid=1659032560326562147,
Casa de Carnes São João,+55 15 3384-2689,https://wa.me/551533842689,https://maps.google.com/?cid=1299165266447984137,https://instagram.com/casa_de_carnes_sao_joao?igshid=NTc4MTIwNjQ2YQ==
Casa de Carnes 3 Irmãos,+55 15 3284-5370,https://wa.me/551532845370,https://maps.google.com/?cid=7681293358906834566,
Casa de Carnes Parreira,+55 15 99825-7990,https://wa.me/5515998257990,https://maps.google.com/?cid=14615258836633018384,
Casa De Carnes Moretti,+55 15 3284-4096,https://wa.me/551532844096,https://maps.google.com/?cid=884967448369365994,
Casa de carnes FSJ - El Haji Beef Cerquilho,+55 15 99682-2132,https://wa.me/5515996822132,https://maps.google.com/?cid=13148963353555698920,https://www.elhajibeef.com.br/
Casa de Carnes Boi Preto L&F,+55 15 99730-1036,https://wa.me/5515997301036,https://maps.google.com/?cid=6379434893615444808,https://instagram.com/casadecarnesboipretolf?igshid=YmMyMTA2M2Y=
Casa Carnes Presoto,+55 15 3284-2501,https://wa.me/551532842501,https://maps.google.com/?cid=13595541316764367226,
Casa de Carnes Terra Nova,+55 15 3282-1513,https://wa.me/551532821513,https://maps.google.com/?cid=4511100542104287689,
Casa Carbone Açougue,+55 11 3078-5020,https://wa.me/551130785020,https://maps.google.com/?cid=548841221242000701,http://www.casacarbone.com.br/
Casa de Carnes Água Branca,+55 15 3262-3798,https://wa.me/551532623798,https://maps.google.com/?cid=15208616220232672897,
CASA DE CARNES AMERICA,+55 15 3259-7653,https://wa.me/551532597653,https://maps.google.com/?cid=12923956046637596002,
Casa de Carnes da Vila,+55 11 2667-7495,https://wa.me/551126677495,https://maps.google.com/?cid=16954854148592305923,
Du Butcher,+55 11 5505-4079,https://wa.me/551155054079,https://maps.google.com/?cid=11272265060687750921,https://www.instagram.com/du.butcher/
Açougue deBetti Dry Aged & Carnes Especiais,,,https://maps.google.com/?cid=11986437086314840384,http://debetti.com.br/
Tennessee Casa de Carnes - Loja Brooklin Paulista,+55 11 5533-5120,https://wa.me/551155335120,https://maps.google.com/?cid=16117626127939974352,
Açougue Boi Branco,+55 15 3284-1366,https://wa.me/551532841366,https://maps.google.com/?cid=1726907805314966204,
Açougue Grando,+55 15 3284-2136,https://wa.me/551532842136,https://maps.google.com/?cid=17481159828010466138,https://www.facebook.com/AcougueGrando/
Açougue e Rotisseria Bella Carne,+55 15 99602-4199,https://wa.me/5515996024199,https://maps.google.com/?cid=12221398803274366466,
Acougue Itororo,+55 11 97123-0762,https://wa.me/5511971230762,https://maps.google.com/?cid=14977936374924686975,
Carnes Nobreza,+55 11 2035-6888,https://wa.me/551120356888,https://maps.google.com/?cid=16551169040845796472,
Filet Carnes,+55 11 3931-8957,https://wa.me/551139318957,https://maps.google.com/?cid=4301149676875007794,
Buenas Carnes Prime,+55 11 3596-4673,https://wa.me/551135964673,https://maps.google.com/?cid=2663601525828976363,
Frigo Carnes,+55 12 3921-9492,https://wa.me/551239219492,https://maps.google.com/?cid=13245207076291361346,
Casa de Carnes Femar,+55 11 3862-4244,https://wa.me/551138624244,https://maps.google.com/?cid=3629206518445735219,
Bonissímo Carnes,+55 11 2022-4362,https://wa.me/551120224362,https://maps.google.com/?cid=17880689642192573623,https://bonissimocarnes.com.br/loja
Carniceria Tepa,+1 650-737-9881,https://wa.me/16507379881,https://maps.google.com/?cid=12022905102094999845,
El Valle Carniceria y Fruteria,+1 510-842-8969,https://wa.me/15108428969,https://maps.google.com/?cid=7711498459373400600,
La Carniceria Meat Market,+1 714-603-7481,https://wa.me/17146037481,https://maps.google.com/?cid=958826882160407742,http://lacarniceriameatmarket.com/
Carniceria La Esmeralda,+1 510-215-1029,https://wa.me/15102151029,https://maps.google.com/?cid=9461470744821815129,
La Carniceria Meat Market West Covina,+1 213-999-1660,https://wa.me/12139991660,https://maps.google.com/?cid=8331632888095524574,https://lacarniceriameatmarket.com/
Gonzalez Meat Market,+1 661-949-0669,https://wa.me/16619490669,https://maps.google.com/?cid=4811258550002120614,https://m.facebook.com/Carniceria-Gonzalez-593107990838953/?ref=bookmarks
Mercado Y Carniceria Uruapan,+1 209-465-3223,https://wa.me/12094653223,https://maps.google.com/?cid=17438894418801503551,
Casa de carnes Boi Preto Luciano e Família,+55 15 99730-1036,https://wa.me/5515997301036,https://maps.google.com/?cid=8923637646107047769,https://www.facebook.com/casadoboipreto?mibextid=LQQJ4d
Casa de carnes São Bento,+55 15 99716-8154,https://wa.me/5515997168154,https://maps.google.com/?cid=12701963416717318829,
Casa de carnes FSJ - El Haji Beef Boituva,+55 15 99730-8440,https://wa.me/5515997308440,https://maps.google.com/?cid=8749228210430854520,http://www.elhajibeef.com.br/
Casa De Carne FSJ,+55 15 99853-5325,https://wa.me/5515998535325,https://maps.google.com/?cid=11627770960994661498,
Casa de Carne 4 de Janeiro Areal,+55 69 99221-2727,https://wa.me/5569992212727,https://maps.google.com/?cid=14970275849769478370,https://www.carnes4dejaneiro.com.br/
Casa de Carnes FSJ - El Haji Beef Tatuí,+55 15 99619-8811,https://wa.me/5515996198811,https://maps.google.com/?cid=12858823360702353084,http://www.elhajibeef.com.br/
Casa de Carnes Denardi,+55 15 3263-3741,https://wa.me/551532633741,https://maps.google.com/?cid=4643563823208205434,
Casa de Carnes Rei,+55 11 3951-0867,https://wa.me/551139510867,https://maps.google.com/?cid=18223941157799334813,http://www.casadecarnesrei.com.br/
Casa de Carnes Kemell,+55 11 2894-9780,https://wa.me/551128949780,https://maps.google.com/?cid=5919071876663267137,
Casa de Carnes Ipanema,+55 15 3213-2798,https://wa.me/551532132798,https://maps.google.com/?cid=8292149152654971235,
The Carne Premium - Recreio,+55 21 99488-7100,https://wa.me/5521994887100,https://maps.google.com/?cid=13359301087559038447,https://thecarnepremium.com.br/
Casa de Carnes Vila Dalila,+55 11 94037-5890,https://wa.me/5511940375890,https://maps.google.com/?cid=9310583072735944271,https://www.instagram.com/casadecarneviladalila?igsh=MWllYjhyZHQybmE3Zw==
The Carne Premium - Barra,+55 21 99985-4980,https://wa.me/5521999854980,https://maps.google.com/?cid=10907953664677654997,https://www.thecarnepremium.com.br/
The Carne Premium - Tijuca,+55 21 99985-4900,https://wa.me/5521999854900,https://maps.google.com/?cid=13224706963768921755,https://www.thecarnepremium.com.br/
Casa de Carne do Coltro,+55 17 3245-4133,https://wa.me/551732454133,https://maps.google.com/?cid=3588684623962331061,
Casa de Carnes Nô,+55 19 3457-6990,https://wa.me/551934576990,https://maps.google.com/?cid=4351657897634814806,
Casa de Carnes Jardim,+55 19 3229-8091,https://wa.me/551932298091,https://maps.google.com/?cid=2946570275564773756,
Koetter Casa de Carnes,+55 48 3065-6134,https://wa.me/554830656134,https://maps.google.com/?cid=11197485214772794272,https://www.instagram.com/koettercasadecarnes
casa de carnes pinheiros,+55 19 3849-6726,https://wa.me/551938496726,https://maps.google.com/?cid=3662303633335570051,
Carnes Evilazio,+55 11 2577-6730,https://wa.me/551125776730,https://maps.google.com/?cid=5082445788071785915,http://carnesevilazio.com.br/
Casa de Carnes S&A,+55 11 4602-1017,https://wa.me/551146021017,https://maps.google.com/?cid=14977411795614290409,https://www.casadecarnessea.com.br/
Casa de Carnes Onze de Junho,+55 19 3875-9225,https://wa.me/551938759225,https://maps.google.com/?cid=975020117135642439,
Casa de Carnes Candelária,+55 19 3875-7037,https://wa.me/551938757037,https://maps.google.com/?cid=7806853971474001499,
NENÊ Casa de Carnes,+55 11 95491-9552,https://wa.me/5511954919552,https://maps.google.com/?cid=4506472042851801233,
Casa de Carnes Cidade Nova,+55 19 3834-3979,https://wa.me/551938343979,https://maps.google.com/?cid=8948922914091294119,
Churrascaria Templo da Carne Marcos Bassi,+55 11 3251-1442,https://wa.me/551132511442,https://maps.google.com/?cid=17947445232746119343,http://www.marcosbassi.com.br/
ND Casa De Carnes,+55 65 3549-1502,https://wa.me/556535491502,https://maps.google.com/?cid=9537174200062891608,
Casa de Carnes DA TORRE,+55 19 97422-6511,https://wa.me/5519974226511,https://maps.google.com/?cid=18269111893343783983,
Casa de Carnes São Jorge,+55 19 3476-1521,https://wa.me/551934761521,https://maps.google.com/?cid=1546938387531066130,
Frigoterra Alimentos,+55 15 3282-7120,https://wa.me/551532827120,https://maps.google.com/?cid=12415426509242351762,
Frigorífico Laranjal,+55 15 3383-9898,https://wa.me/551533839898,https://maps.google.com/?cid=16009499775341139882,
Frangoeste Avicultura LTDA,+55 15 3285-8200,https://wa.me/551532858200,https://maps.google.com/?cid=17466469969108827302,http://www.frangoeste.com.br/
Frigorífico Cancian - Produto Suíno feito a mão.,+55 15 3282-3833,https://wa.me/551532823833,https://maps.google.com/?cid=17356831643285488319,https://www.loja.cancian.com.br/
Frigorífico Cardeal Indústria e Comércio,+55 11 4227-9600,https://wa.me/551142279600,https://maps.google.com/?cid=18093452969629872575,http://www.fcardeal.com.br/
Frigorífico Rosfran,,,https://maps.google.com/?cid=14014544612318143342,
Friuna Alimentos,+55 19 2534-9900,https://wa.me/551925349900,https://maps.google.com/?cid=3348033885121515937,http://www.friuna.com.br/
Frigodeliss Ltda,+55 19 3492-9390,https://wa.me/551934929390,https://maps.google.com/?cid=8060440832435615291,http://www.frigodeliss.com.br/
Frigorífico Suíno Leve Ind Com LTDA,+55 16 3375-3199,https://wa.me/551633753199,https://maps.google.com/?cid=882115401680689397,
Frigorifico Campo Alegre,+55 14 3653-1375,https://wa.me/551436531375,https://maps.google.com/?cid=16233942947569956234,https://www.frigorificocampoalegre.com.br/
Abatedouro Aves Ideal- FRIGORIFICO,+55 14 3888-1370,https://wa.me/551438881370,https://maps.google.com/?cid=2495590034574269963,http://www.rosaves.com.br/
Cardeal Indústria e Comércio de Alimentos,+55 11 4227-9609,https://wa.me/551142279609,https://maps.google.com/?cid=13650192634662686075,http://www.fcardeal.com.br/
Arfrio S.A. Armazéns Gerais Frigoríficos - Centro Administrativo,+55 11 5501-6600,https://wa.me/551155016600,https://maps.google.com/?cid=7206100405300279352,http://www.arfrio.com.br/
Frigosul Frigorifico Sul Ltda (Sulbeef),+55 67 3565-9000,https://wa.me/556735659000,https://maps.google.com/?cid=15065583837905193846,https://sulbeef.com.br/
FriGol - Suínos,+55 14 3269-3900,https://wa.me/551432693900,https://maps.google.com/?cid=16147989278307839664,https://www.frigol.com.br/
Mais Carnes Frigorífico - Atacado e Varejo,+55 11 95436-4326,https://wa.me/5511954364326,https://maps.google.com/?cid=14122404459994045671,http://www.maiscarnes.com.br/
Frigorífico Irmãos Reis,+55 800 14 1066,https://wa.me/55800141066,https://maps.google.com/?cid=5266311052175749588,http://www.frigorificoirmaosreis.com.br/
Frigorífico Frisil,+55 11 4705-9800,https://wa.me/551147059800,https://maps.google.com/?cid=3460672196274954294,http://www.frisil.com.br/
